Category,Endpoint,Method,ExpectedStatus,ActualStatus,Passed,Description
"Auth","/auth/login","POST",200,201,true,"Positive: Member Login with valid credentials"
"Auth","/auth/login","POST",401,401,true,"Negative: Login with invalid password"
"Auth","/auth/login","POST",401,401,true,"Negative: Login with non-existent user"
"Auth","/auth/me","GET",200,200,true,"Positive: Profile query with Bearer token"
"Auth","/auth/me","GET",401,401,true,"Negative: Profile query without token"
"Catalog","/workspaces","GET",200,200,true,"Positive: List all public workspaces"
"Catalog","/workspaces?city=Jaipur","GET",200,200,true,"Positive: Filter catalog by Jaipur"
"Catalog","/workspaces?city=Alwar","GET",200,200,true,"Positive: Alwar filter returns zero public workspaces"
"Catalog","/workspaces/lehariya-jaipur","GET",200,200,true,"Positive: Get workspace by valid slug"
"Catalog","/workspaces/non-existent-campus","GET",404,404,true,"Negative: Non-existent workspace slug"
"Catalog","/workspaces/floors/a6e921cb-2d1d-4d83-86c4-781d7694ec96/availability?startTime=2026-09-24T09:00:00Z&endTime=2026-09-24T18:00:00Z","GET",200,200,true,"Positive: Live floor availability query"
"Catalog","/workspaces/floors/00000000-0000-0000-0000-000000000000/availability","GET",404,404,true,"Negative: Availability for invalid floor UUID"
"Pricing","/bookings/quote","POST",200,201,true,"Positive: Authoritative pricing quote with coupon STUDIO10"
"Pricing","/bookings/quote","POST",400,400,true,"Negative: Pricing quote with invalid coupon code"
"Pricing","/bookings/quote","POST",404,404,true,"Negative: Pricing quote with invalid unit ID"
"Hold","/bookings/hold","POST",401,401,true,"Negative: Seat hold request without authorization token"
"Hold","/bookings/hold","POST",409,409,true,"Negative: Seat hold request on invalid/unavailable unit ID"
"Admin","/admin/dashboard","GET",200,200,true,"Positive: Admin KPI Dashboard with Admin token"
"Admin","/admin/dashboard","GET",403,403,true,"Negative: Admin KPI Dashboard forbidden for Member token"
"Admin","/admin/dashboard","GET",401,401,true,"Negative: Admin KPI Dashboard unauthorized without token"
"Admin","/admin/finance/summary","GET",200,200,true,"Positive: Admin Finance reconciliation summary"
"Admin","/admin/finance/summary","GET",403,403,true,"Negative: Admin Finance forbidden for Member"
"Admin","/admin/floors/a6e921cb-2d1d-4d83-86c4-781d7694ec96/publish-layout","POST",200,201,true,"Positive: Publish floor layout as Admin"
"Admin","/admin/floors/a6e921cb-2d1d-4d83-86c4-781d7694ec96/publish-layout","POST",403,403,true,"Negative: Publish floor layout forbidden for Member"
