Page,Control,Interaction,VerifiedResult
"Home Page (/)","Navbar Campus Selector","Click dropdown","Shows only Jaipur campuses (Lehariya, Horizon). Alwar completely removed."
"Home Page (/)","Hero Search City Filter","Select City dropdown","Displays "Jaipur, Rajasthan". Zero Alwar options."
"Home Page (/)","Hero Explore CTA","Click "Explore Spaces"","Navigates to /explore with verified campus cards."
"Explore (/explore)","City Filter Buttons","Toggle "All Cities" / "Jaipur"","Filters 2 active campuses. Alwar absent."
"Explore (/explore)","Campus Card Link","Click "View Floor Plan & Book"","Deep links to /workspaces/[slug]."
"Workspace (/workspaces/[slug])","Floor Switcher","Click floor tabs ("1st Floor")","Dynamically fetches live floor layout and units."
"Workspace (/workspaces/[slug])","Plan Type Selector","Click plan radio (Day Pass, Resident Desk)","Updates active plan, pricing calculation, and commitment rules."
"Workspace (/workspaces/[slug])","2D Floor Plan Canvas","Pan & Drag SVG canvas","Smooth unbounded pan with bounded boundaries."
"Workspace (/workspaces/[slug])","2D Zoom Controls","Click Zoom In (+), Zoom Out (-), Reset","Applies SVG scale matrix from 0.6x to 2.5x."
"Workspace (/workspaces/[slug])","Unit Seat Selection","Click green available desk/cabin","Highlights unit in #FF007A with pulse ring, populates summary."
"Workspace (/workspaces/[slug])","Accessible Unit List","Click button in accessible grid","Full WCAG accessible alternative seat selection."
"Workspace (/workspaces/[slug])","Hold & Checkout CTA","Click "Hold Seat & Continue"","Acquires 10-min atomic hold and transitions to /checkout."
"Checkout (/checkout)","Coupon Input","Enter "STUDIO10" and click Apply","Calculates 10% discount via backend authoritative quote."
"Checkout (/checkout)","Confirm & Pay Button","Click "Pay & Confirm Reservation"","Executes simulated gateway payment, creates booking, issues digital pass."
"Digital Pass (/bookings/[id]/pass)","Pass Display","Inspect QR token & security code","Renders digital pass with live validity badge and session ID."
"Admin Spaces (/admin/spaces)","Manage Floor Plan Button","Click "Manage Floor Plan"","Deep links to /admin/spaces/[id]/floor-plan."
"Admin Floor Editor (/admin/spaces/[id]/floor-plan)","Drag Seat on Canvas","Mouse down on unit and drag to new coordinate","Live coordinate updates with grid snap support."
"Admin Floor Editor (/admin/spaces/[id]/floor-plan)","Property Inspector","Change Unit Code, Category, Status, Dimensions","Instant reactive update to unit geometry."
"Admin Floor Editor (/admin/spaces/[id]/floor-plan)","Add Unit Object","Click "+ Add Desk / Cabin", fill form, Submit","Instantiates new unit object on canvas."
"Admin Floor Editor (/admin/spaces/[id]/floor-plan)","Undo / Redo","Click Undo (Ctrl+Z) / Redo (Ctrl+Y)","Reverts/restores canvas geometry history."
"Admin Floor Editor (/admin/spaces/[id]/floor-plan)","Publish Live Layout","Click "Publish Layout to Members"","Calls POST /admin/floors/:id/publish-layout, publishes new version."
"Admin Dashboard (/admin)","KPI Metric Cards","Inspect gross revenue, occupancy, bookings","Displays live aggregation from PostgreSQL."
"Admin Finance (/admin/finance)","Reconciliation Table","Inspect order records and net revenue","Authoritative financial breakdown with BigInt paise precision."
